SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
20191007-1159-FRANKFURT_1-01-291,Barani A,-1.194,0.244,3.71,-69.725,-106.583,169.854,-2.2,-1.474,5.19,-22.503,217.225,44.732
20191007-1150-FRANKFURT_2-01-72,Salto A,-0.398,-0.245,3.795,17.302,193.474,-14.37,-1.191,-0.953,3.106,1.061,231.515,-8.599
20190930-1616-FRANKFURT_1-01-313,Barani C,-4.039,2.39,5.463,-46.932,-193.041,84.994,1.828,-1.212,4.444,-89.596,67.329,115.238
20191007-1150-FRANKFURT_2-01-109,Schraubensalto A,-4.416,0.893,5.287,133.025,42.124,261.433,-3.563,-2.869,1.61,-12.248,202.78,178.794
0609-4-01-314,Fliffis C,-19.492,1.752,-3.464,-57.286,-398.797,97.065,-4.058,-1.751,-1.232,-86.019,182.811,150.611
0115-MORITZ-03-38,Voll- ein- Rudi- aus B,-17.578,-0.471,-0.738,-289.018,-264.429,-394.852,-20.801,0.686,1.38,-132.93,118.759,-407.085
0609-1-01-728,Von Bauch in Stand,8.992,0.538,6.152,10.383,-25.07,2.417,3.829,0.035,7.082,-5.965,68.369,3.767
20190930-1616-FRANKFURT_1-01-42,Barani C,-3.325,2.505,3.983,-80.83,-186.67,98.987,1.082,-0.679,4.651,-66.415,69.703,108.919
0609-1-01-495,Doppelsalto B,-15.109,-1.052,3.76,-27.213,372.604,-5.288,-6.044,-0.025,-4.124,36.187,345.595,-9.485
0609-4-01-423,Fliffis B,-16.598,1.159,0.214,-33.358,-335.918,138.135,-6.156,-1.908,-2.12,-67.043,264.606,111.897
0609-4-01-297,Salto C,2.352,-0.371,2.988,-5.011,215.097,9.027,0.935,-0.171,2.402,-2.389,201.928,9.345
0609-4-01-318,Salto C,-0.086,-0.209,3.253,-2.672,225.507,11.544,3.306,-0.306,5.831,12.729,130.77,2.354
20191007-1150-FRANKFURT_2-01-107,Salto B,-4.556,-0.0,1.812,6.315,223.559,-5.887,-1.584,-0.319,4.65,23.18,191.792,13.039
