Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
6.229,3.025,104.696,11.417,1.706,106.411,9.98,20190930-1153-FRANKFURT_1-01-140,Cody C
7.086,-6.99,105.931,2.884,-5.33,105.28,4.195,20190930-1153-FRANKFURT_1-01-140,Cody C
6.584,-9.056,115.277,13.697,-8.805,118.214,12.358,20190930-1153-FRANKFURT_1-01-140,Cody C
4.59,2.962,167.47,10.46,3.404,168.893,9.434,20190930-1153-FRANKFURT_1-01-140,Cody C
15.267,36.062,261.596,-43.283,28.88,257.527,-45.098,20190930-1153-FRANKFURT_1-01-140,Cody C
79.272,-4.158,230.649,-72.954,1.276,232.387,-68.888,20190930-1153-FRANKFURT_1-01-140,Cody C
84.098,-5.953,-69.241,-17.394,-1.41,-76.978,-6.823,20191007-1150-FRANKFURT_2-01-129,Barani A
45.484,-5.496,-229.287,19.806,-5.757,-228.703,20.414,20191007-1150-FRANKFURT_2-01-129,Barani A
6.901,-4.34,-333.378,56.406,-8.35,-313.348,54.704,20191007-1150-FRANKFURT_2-01-129,Barani A
5.062,-48.53,-175.3,65.551,-46.345,-180.27,69.26,20191007-1150-FRANKFURT_2-01-129,Barani A
7.842,-72.417,-91.024,133.474,-72.921,-96.465,131.24,20191007-1150-FRANKFURT_2-01-129,Barani A
7.83,-103.434,-78.562,180.754,-102.123,-79.553,176.083,20191007-1150-FRANKFURT_2-01-129,Barani A
8.656,-120.573,-100.868,163.511,-123.938,-102.064,161.757,20191007-1150-FRANKFURT_2-01-129,Barani A
11.449,-175.154,-103.755,121.29,-173.665,-100.786,135.077,20191007-1150-FRANKFURT_2-01-129,Barani A
13.483,-205.736,-41.73,236.139,-200.558,-41.243,225.052,20191007-1150-FRANKFURT_2-01-129,Barani A
13.857,-187.307,36.422,286.245,-188.906,37.88,280.297,20191007-1150-FRANKFURT_2-01-129,Barani A
12.711,-194.178,116.375,258.006,-191.509,114.679,256.62,20191007-1150-FRANKFURT_2-01-129,Barani A
11.012,-154.422,156.446,185.612,-153.032,154.551,189.761,20191007-1150-FRANKFURT_2-01-129,Barani A
9.876,-83.109,153.63,133.798,-84.96,153.064,131.073,20191007-1150-FRANKFURT_2-01-129,Barani A
10.034,-48.94,146.337,63.845,-50.545,143.101,66.801,20191007-1150-FRANKFURT_2-01-129,Barani A
9.987,-43.511,136.199,21.203,-42.417,143.451,25.167,20191007-1150-FRANKFURT_2-01-129,Barani A
10.302,-16.315,195.67,37.972,-19.719,196.183,38.374,20191007-1150-FRANKFURT_2-01-129,Barani A
7.486,-16.221,251.424,47.665,-15.984,245.763,48.414,20191007-1150-FRANKFURT_2-01-129,Barani A
5.571,-5.663,248.467,67.09,-2.513,255.836,61.187,20191007-1150-FRANKFURT_2-01-129,Barani A
7.441,38.916,315.308,-8.977,37.709,308.768,2.815,20191007-1150-FRANKFURT_2-01-129,Barani A
