SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
0609-1-01-308,Doppelsalto B,28.011,14.663,390.667,-9.493,14.656,389.797,-9.424
20191008-1207-FRANKFURT_2-01-143,Salto A,17.265,37.257,201.097,-20.251,35.792,204.14,-19.848
0115-JANEIKE-01-28,Strecksprung,10.701,-1.002,1.228,-1.272,-1.002,1.163,-1.371
20191001-1148-FRANKFURT_1-01-124,Salto rw C,16.664,8.551,210.643,-5.14,8.488,209.045,-6.326
0609-4-01-560,Barani C,17.602,-6.205,-44.505,122.711,-6.178,-44.545,122.658
20190930-1247-FRANKFURT_2-01-224,Salto C,15.027,3.0,195.276,-3.716,3.166,195.158,-3.659
20191008-1207-FRANKFURT_2-01-141,Salto B,19.849,16.125,202.221,-16.801,15.852,200.528,-15.414
20191007-1159-FRANKFURT_1-01-61,Salto C,14.571,11.74,214.957,4.016,11.838,214.337,4.027
0827-BK2-02-7,Salto C,15.858,0.251,181.99,-36.37,0.325,181.651,-36.412
20191008-1207-FRANKFURT_2-01-359,Fliffis- Rudi C,39.967,-2.15,-154.709,366.427,-1.768,-153.82,365.669
0609-4-01-351,Fliffis B,28.553,-48.981,-110.275,121.65,-48.89,-110.078,121.732
20191001-1202-FRANKFURT_2-01-196,Salto A,16.283,-9.076,-212.64,-6.674,-9.215,-210.893,-5.107
0609-1-01-689,Doppelsalto C,31.741,25.706,413.993,-15.363,25.731,412.912,-15.248
0115-JANEIKE-01-87,Triffis B,43.394,-113.395,-384.69,-101.664,-113.472,-385.611,-102.41
0115-JANEIKE-01-89,Triffis C,56.823,-25.12,-415.062,-96.426,-25.248,-414.654,-96.278
20190930-1247-FRANKFURT_2-01-343,Salto C,15.098,-1.053,195.848,-1.265,-0.957,195.411,-1.169
20191001-1202-FRANKFURT_2-01-37,Strecksprung,10.658,1.793,4.006,3.931,1.934,4.132,2.244
20190930-1616-FRANKFURT_1-01-167,Fliffis C,36.083,-35.033,-231.343,100.283,-34.979,-230.825,100.228
20191001-1148-FRANKFURT_1-01-139,Salto rw A,14.444,-2.61,194.215,-2.249,-2.522,193.583,-1.019
20191007-1524-FRANKFURT_1-01-182,Doppelsalto C,33.676,28.843,412.423,-26.516,29.706,414.252,-29.093
0609-1-01-360,Salto C,16.002,11.276,191.767,-9.019,11.194,191.878,-8.917
20191001-1148-FRANKFURT_1-01-182,Salto rw B,19.863,-5.876,199.708,-5.572,-5.175,201.588,-6.173
20191007-1524-FRANKFURT_1-01-53,Barani A,17.812,-82.839,12.053,108.348,-82.034,11.264,109.59
0115-JANEIKE-01-51,Strecksprung,12.155,0.328,-0.445,2.754,0.425,-0.5,2.548
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,14.109,26.161,57.048,217.265,26.246,56.325,217.648
20191008-1157-FRANKFURT_1-01-128,Barani A,17.177,-46.159,43.474,103.356,-46.24,43.352,103.589
0609-1-01-671,Von Bauch in Stand,12.032,4.131,23.759,3.145,3.991,24.348,2.781
0609-4-01-263,Fliffis C,31.19,-59.955,-88.883,118.64,-60.123,-88.273,118.491
0609-1-01-476,Doppelsalto B,27.381,0.171,376.978,-9.743,0.324,376.641,-9.625
20191008-1157-FRANKFURT_1-01-297,Barani C,19.362,-25.146,-1.586,98.702,-24.56,0.808,99.545
20190930-1247-FRANKFURT_2-01-291,Grätschwinkel,10.932,-6.761,6.55,5.753,-6.32,5.202,5.991
20190930-1247-FRANKFURT_2-01-61,Strecksprung,10.462,0.124,2.319,2.116,0.083,2.411,1.862
20191001-1148-FRANKFURT_1-01-77,Grätschwinkel,14.872,-0.252,1.595,-6.791,-1.387,1.384,-6.225
20191007-1534-FRANKFURT_2-01-135,Salto A,15.713,-8.419,213.801,-12.057,-8.586,213.941,-12.722
20190930-1153-FRANKFURT_1-01-143,Salto A,15.658,23.654,187.541,-1.851,23.599,187.85,-2.061
0115-MORITZ-03-59,1/2 ein 1/2 aus C,32.073,-151.68,10.732,-155.974,-151.677,10.628,-155.796
20191007-1150-FRANKFURT_2-01-223,Salto B,17.31,15.008,205.531,-7.653,15.117,204.958,-7.814
20191008-1157-FRANKFURT_1-01-92,Schraubensalto A,14.274,45.689,118.836,214.384,45.459,117.919,214.213
0115-MORITZ-03-85,Fliffis- Rudi B,38.762,-108.918,-124.822,-255.701,-108.761,-123.51,-255.045
0609-1-01-866,Doppelsalto C,32.178,-2.228,425.434,-25.153,-2.202,424.651,-25.129
20190930-1153-FRANKFURT_1-01-130,Strecksprung,11.063,-0.227,-0.194,2.662,-0.196,-0.292,2.682
20191008-1207-FRANKFURT_2-01-308,Doppelsalto C,32.051,77.926,413.479,-70.016,78.013,412.875,-70.572
20191008-1207-FRANKFURT_2-01-75,Barani A,16.613,-63.558,27.688,129.904,-61.983,26.416,128.784
0609-4-01-578,Barani C,17.234,-1.339,-36.257,133.359,-1.52,-36.275,133.076
0609-1-01-235,Doppelsalto B,27.536,33.183,405.172,1.25,33.212,404.431,1.38
20191007-1150-FRANKFURT_2-01-130,Schraubensalto A,16.816,37.826,128.377,215.674,37.931,128.454,215.631
20191001-1202-FRANKFURT_2-01-138,Strecksprung,10.944,0.968,1.345,6.796,0.734,1.727,5.561
20191008-1157-FRANKFURT_1-01-300,Baby- Fliffis C,24.438,3.694,-65.771,115.539,3.652,-66.012,115.303
20191008-1207-FRANKFURT_2-01-121,Salto C,16.127,16.317,210.077,-18.261,16.379,207.507,-19.697
20191003-1152-FRANKFURT_1-01-129,Fliffis C,36.231,75.175,-225.582,-102.88,75.049,-225.688,-103.313
20190930-1616-FRANKFURT_1-01-44,Salto C,15.704,-6.431,193.799,9.876,-6.128,193.465,9.714
0609-1-01-818,Bauchsprung,12.976,-0.09,-18.919,-6.919,0.053,-19.144,-6.424
