SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
20191007-1534-FRANKFURT_2-01-119,Barani C,19.063,54.095,236.585,114.807,51.371,233.115,113.051
20190930-1247-FRANKFURT_2-01-78,Salto B,22.802,18.822,205.284,31.958,14.842,198.865,23.286
20191008-1157-FRANKFURT_1-01-140,Barani A,23.203,66.3,195.236,101.052,64.477,191.966,97.287
0115-JANEIKE-01-19,Fliffis- Rudi B,17.958,191.708,380.666,371.144,184.071,370.802,365.351
20191007-1159-FRANKFURT_1-01-346,Barani C,23.411,36.924,246.629,150.361,34.441,242.687,147.355
20191001-1202-FRANKFURT_2-01-41,3/4 Salto rw A,22.568,19.164,66.087,51.06,14.321,49.307,26.978
0609-1-01-347,Strecksprung,20.21,15.19,49.174,18.769,12.787,47.45,15.918
20191007-1159-FRANKFURT_1-01-126,Barani B,21.513,37.336,275.89,156.279,32.211,271.064,151.953
0609-4-01-70,Fliffis B,23.079,89.222,359.98,147.371,87.002,349.049,141.767
0609-1-01-871,Doppelsalto C,21.359,34.193,266.506,35.722,29.816,260.781,21.619
20190930-1247-FRANKFURT_2-01-132,Schraubensalto,21.71,112.008,150.893,118.639,110.346,145.454,110.763
0609-4-01-516,Barani C,25.731,41.23,196.195,91.709,39.171,191.991,88.035
20191008-1157-FRANKFURT_1-01-137,Barani A,23.428,61.127,207.747,112.27,57.801,203.506,110.357
0609-1-01-181,Von Bauch in Stand,23.5,18.808,69.602,30.871,16.25,64.495,21.923
0110-MORITZ-01-48,Doppelsalto C,22.472,28.052,226.212,27.954,26.031,222.454,14.905
0115-MORITZ-03-115,Doppelsalto B,22.816,33.721,286.411,35.663,30.937,280.84,26.509
20191007-1159-FRANKFURT_1-01-384,Grätschwinkel,22.345,18.312,145.613,30.386,14.269,140.27,24.404
0609-4-01-323,Salto C,19.584,17.731,159.076,19.255,14.068,151.5,13.668
20191008-1207-FRANKFURT_2-01-339,Doppelsalto C,21.027,89.204,260.317,83.622,85.911,252.45,60.097
0115-CHARI-05-174,Voll- ein 1 3/4 Salto vw C,22.734,230.655,209.508,200.492,226.77,180.742,194.879
0609-1-01-581,Doppelsalto B,21.164,45.569,304.046,49.085,40.94,291.168,27.314
20190930-1153-FRANKFURT_1-01-237,Cody C,27.005,37.202,239.214,40.799,33.708,231.62,34.116
20190930-1247-FRANKFURT_2-01-293,Barani C,25.819,53.948,219.332,73.957,49.091,214.982,66.089
0827-BK2-02-63,Salto B,19.523,30.069,168.5,27.209,28.047,162.96,20.654
0609-1-01-206,Doppelsalto B,17.972,39.875,264.711,51.499,36.52,257.403,38.511
20191007-1524-FRANKFURT_1-01-55,Barani A,26.235,68.51,195.578,119.761,66.087,188.252,87.634
0827-BK2-02-65,Salto B,21.246,22.852,205.28,26.52,20.367,199.835,20.09
20191008-1207-FRANKFURT_2-01-118,Barani A,24.054,67.463,212.16,141.386,63.722,197.014,123.826
0609-4-01-76,Fliffis B,23.676,108.268,365.731,132.226,105.654,353.786,128.566
20190930-1247-FRANKFURT_2-01-151,Salto B,24.952,17.055,231.119,33.288,12.934,222.832,21.352
20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,23.414,32.413,272.056,59.074,26.578,258.964,33.581
0115-JANEIKE-01-14,Salto B,25.793,34.138,159.706,35.456,30.783,152.9,25.555
0115-JANEIKE-01-116,Salto B,24.97,34.227,178.068,37.132,30.961,169.435,26.593
0609-1-01-738,Doppelsalto C,23.197,55.01,299.561,50.062,51.158,292.008,35.746
0609-4-01-16,Fliffis B,23.384,96.106,366.242,131.476,94.222,357.943,128.652
0110-MORITZ-01-156,Salto C,24.473,17.771,162.948,20.391,15.307,155.996,14.782
0609-1-01-95,Doppelsalto C,22.191,22.415,281.434,34.939,17.448,275.883,16.537
0827-BK2-01-28,Salto C,24.491,20.665,181.697,23.853,17.913,175.451,19.137
0827-BK1-01-92,Salto B,24.301,25.683,178.577,34.866,23.566,172.528,28.03
20191007-1524-FRANKFURT_1-01-264,Fliffis- Rudi B,19.453,230.648,434.35,376.971,220.841,420.594,364.663
20191001-1202-FRANKFURT_2-01-27,Salto B,20.067,31.434,224.75,69.317,25.868,214.611,33.812
0609-1-01-466,Doppelsalto B,23.187,44.227,289.28,54.892,39.583,280.396,31.096
20191008-1207-FRANKFURT_2-01-174,Schraubensalto A,22.388,103.35,171.502,130.915,100.401,164.5,124.085
0115-JANEIKE-01-26,Strecksprung,24.595,13.729,78.665,18.905,11.743,75.935,15.386
0827-BK2-01-83,Salto B,26.097,30.024,194.383,24.573,27.807,188.705,20.086
0609-1-01-888,Doppelsalto C,21.084,31.014,272.855,30.44,26.987,268.028,20.485
0609-4-01-418,Fliffis B,25.976,81.005,360.782,123.307,79.118,348.746,119.338
0115-JANEIKE-01-75,Strecksprung,24.331,15.668,81.692,31.602,11.81,76.577,25.954
