SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
0110-MORITZ-01-60,Salto C,26.24,-8.755,129.85,14.197,-8.653,130.287,13.857,11.289,-11.673,311.134,9.348,-12.158,310.854,9.443,3.237,-6.663,146.431,4.47,-6.713,145.96,4.393,17.01,-6.858,77.479,-0.54,-6.885,75.365,0.276
0609-4-01-308,Salto C,28.92,-1.794,149.241,6.654,-1.92,149.134,7.381,10.935,12.624,326.24,7.506,12.54,325.904,6.863,3.471,5.25,134.481,4.63,5.152,134.235,4.638,10.108,10.557,122.076,-5.954,10.226,118.402,-6.166
0609-4-01-592,Barani C,29.594,19.541,-284.085,45.018,19.423,-283.052,44.962,10.556,7.949,-146.155,190.405,8.099,-145.108,189.872,6.662,-31.908,89.756,217.564,-31.843,88.545,217.427,20.544,8.6,164.499,49.273,8.616,163.538,49.001
20191001-1148-FRANKFURT_1-01-35,Strecksprung,22.03,-5.057,-7.259,11.565,-4.412,-8.063,11.178,0.903,-0.689,-37.208,4.222,-0.895,-36.951,4.405,1.058,3.463,15.679,-1.597,3.509,15.447,-1.79,17.614,0.994,20.254,0.642,0.639,21.573,1.236
20190930-1616-FRANKFURT_1-01-240,Fliffis C,50.503,-15.63,-371.187,-3.147,-15.653,-366.462,-2.057,51.579,-26.559,-639.633,19.755,-26.194,-637.826,19.334,15.4,-117.347,-23.104,245.495,-116.674,-25.371,243.91,21.654,-27.071,214.803,81.45,-29.667,215.362,83.276
0609-1-01-789,Von Bauch in Stand,26.19,8.378,-12.069,20.232,7.224,-11.59,18.006,1.248,-8.599,5.08,31.86,-8.153,5.78,32.56,1.113,12.451,36.453,-42.668,12.547,36.162,-42.179,13.056,12.023,70.041,12.329,11.472,71.516,12.625
0609-1-01-73,Strecksprung,23.37,-7.924,53.905,-2.755,-8.101,55.051,-2.366,0.878,-1.105,-23.174,2.635,-1.064,-23.542,2.614,0.628,3.486,-17.542,-4.515,3.343,-18.123,-4.623,19.754,9.151,25.31,11.617,8.986,25.474,11.441
20191007-1159-FRANKFURT_1-01-116,Barani B,31.699,23.021,-348.649,23.222,22.546,-344.964,22.468,9.474,27.497,-96.915,237.704,27.996,-98.889,237.798,7.986,21.675,125.09,197.092,21.556,124.634,197.977,13.062,-2.098,275.989,-1.178,-2.233,273.993,-0.402
0115-JANEIKE-01-18,Salto B,29.342,3.566,26.159,-13.113,6.11,26.982,-13.469,15.462,18.036,429.867,-12.532,17.704,426.029,-12.586,4.033,43.021,182.84,-11.439,43.553,184.014,-11.295,21.974,23.572,103.861,-13.457,21.839,101.56,-13.219
20191008-1207-FRANKFURT_2-01-230,Schraubensalto A,22.658,78.351,155.634,163.242,78.618,154.901,164.733,7.596,84.87,-88.763,300.983,84.04,-88.172,300.593,10.679,-132.513,16.929,315.581,-131.248,16.452,314.526,25.495,32.218,268.484,35.662,30.568,267.453,35.001
0609-4-01-566,Barani C,30.139,0.332,-276.476,68.104,-0.353,-274.818,68.096,9.734,-25.423,-102.898,203.018,-25.298,-103.463,202.454,6.069,-66.709,86.077,203.02,-66.461,85.361,203.026,20.498,11.607,145.044,45.617,11.587,144.196,45.658
0827-BK2-02-35,Salto C,25.588,13.812,52.144,-41.861,13.534,57.879,-41.333,16.354,6.432,436.689,-47.126,6.549,430.66,-47.363,2.72,10.622,108.177,-16.122,10.994,108.551,-16.216,22.381,18.593,118.045,-20.326,18.2,117.491,-20.103
