Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,45.281,41.359,-38.215,1.75,-23.239,44.918,704.709,-39.632,20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,71.644,687.675,-46.233,75.414,693.739,71.338
,,30.117,36.899,-22.817,0.565,-18.967,64.123,518.619,-29.444,20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,71.644,687.675,-46.233,75.414,693.739,71.338
,,27.466,15.702,0.17,0.624,15.586,43.012,253.471,-14.631,20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,71.644,687.675,-46.233,75.414,693.739,71.338
,,27.693,39.68,19.321,1.291,12.713,7.22,-10.783,18.55,0609-1-01-792,Von Bauch in Stand,9.642,45.199,8.036,28.074,76.027,60.245
,,2.164,1.944,0.143,-0.328,-0.749,-7.386,5.574,31.156,0609-1-01-792,Von Bauch in Stand,9.642,45.199,8.036,28.074,76.027,60.245
,,1.554,1.282,-0.84,0.122,-0.358,11.091,37.051,-43.437,0609-1-01-792,Von Bauch in Stand,9.642,45.199,8.036,28.074,76.027,60.245
,,18.072,8.673,5.841,0.079,15.958,11.641,79.956,12.229,0609-1-01-792,Von Bauch in Stand,9.642,45.199,8.036,28.074,76.027,60.245
,,28.716,40.257,-1.058,1.778,16.774,-15.182,-175.618,70.541,20191008-1157-FRANKFURT_1-01-88,Barani A,-109.739,56.964,182.764,116.269,291.135,192.782
,,9.724,9.541,-2.765,-0.835,-9.059,-147.482,-97.547,216.023,20191008-1157-FRANKFURT_1-01-88,Barani A,-109.739,56.964,182.764,116.269,291.135,192.782
,,8.353,8.64,-3.402,-2.926,-6.91,-68.237,147.45,156.097,20191008-1157-FRANKFURT_1-01-88,Barani A,-109.739,56.964,182.764,116.269,291.135,192.782
,,24.184,13.365,-1.745,-0.348,17.184,-31.49,265.756,-1.939,20191008-1157-FRANKFURT_1-01-88,Barani A,-109.739,56.964,182.764,116.269,291.135,192.782
,,22.463,32.589,-4.371,-1.63,16.164,-3.145,-155.416,6.485,20191001-1202-FRANKFURT_2-01-25,3/4 Salto rw A,-6.597,-307.212,-29.555,26.43,316.827,51.061
,,4.524,4.753,1.172,-0.356,-4.1,0.991,-176.401,-18.852,20191001-1202-FRANKFURT_2-01-25,3/4 Salto rw A,-6.597,-307.212,-29.555,26.43,316.827,51.061
,,4.803,4.572,1.308,-0.272,-4.519,-0.686,-181.981,-3.656,20191001-1202-FRANKFURT_2-01-25,3/4 Salto rw A,-6.597,-307.212,-29.555,26.43,316.827,51.061
,,24.185,12.9,-17.161,-2.869,3.683,-12.296,-173.93,-39.207,20191001-1202-FRANKFURT_2-01-25,3/4 Salto rw A,-6.597,-307.212,-29.555,26.43,316.827,51.061
,,28.897,39.758,-6.365,-2.025,17.212,-6.99,-205.436,-3.55,20191001-1202-FRANKFURT_2-01-199,Salto A,-25.378,-351.73,-19.067,35.117,360.292,56.792
,,9.188,9.541,3.478,-0.107,-8.023,-7.877,-223.299,-12.977,20191001-1202-FRANKFURT_2-01-199,Salto A,-25.378,-351.73,-19.067,35.117,360.292,56.792
,,8.4,8.014,4.613,-0.803,-6.846,-14.253,-191.134,4.279,20191001-1202-FRANKFURT_2-01-199,Salto A,-25.378,-351.73,-19.067,35.117,360.292,56.792
,,25.8,13.353,-3.274,-1.19,13.366,-31.032,-229.492,-27.106,20191001-1202-FRANKFURT_2-01-199,Salto A,-25.378,-351.73,-19.067,35.117,360.292,56.792
,,24.337,34.921,3.489,1.393,16.711,9.936,171.054,-63.139,0827-BK2-02-131,Salto A,1.142,334.809,-69.822,33.642,334.809,78.062
,,6.749,5.87,-2.197,-0.158,-5.321,-3.729,206.768,-31.236,0827-BK2-02-131,Salto A,1.142,334.809,-69.822,33.642,334.809,78.062
,,6.416,5.615,-2.548,-0.095,-4.91,-8.045,175.95,-44.603,0827-BK2-02-131,Salto A,1.142,334.809,-69.822,33.642,334.809,78.062
,,23.106,12.368,3.243,0.1,14.069,3.783,175.817,-11.675,0827-BK2-02-131,Salto A,1.142,334.809,-69.822,33.642,334.809,78.062
,,26.577,36.393,-3.517,6.2,15.005,1.487,40.252,-27.829,20191008-1207-FRANKFURT_2-01-337,Salto B,31.664,336.83,-55.112,71.297,409.929,86.385
,,22.72,20.517,-12.357,0.173,-14.553,32.356,415.139,-35.743,20191008-1207-FRANKFURT_2-01-337,Salto B,31.664,336.83,-55.112,71.297,409.929,86.385
,,7.238,11.256,-4.223,-0.771,-3.186,16.093,204.484,-43.469,20191008-1207-FRANKFURT_2-01-337,Salto B,31.664,336.83,-55.112,71.297,409.929,86.385
,,22.865,11.466,2.753,3.425,16.048,25.993,149.158,-22.051,20191008-1207-FRANKFURT_2-01-337,Salto B,31.664,336.83,-55.112,71.297,409.929,86.385
,,51.013,58.46,-24.022,3.574,8.535,-74.308,-639.434,67.055,20191007-1524-FRANKFURT_1-01-140,Fliffis- Rudi B,188.527,-363.249,577.132,278.92,721.085,615.87
,,34.406,35.795,-29.357,7.956,-9.998,56.753,-439.705,354.504,20191007-1524-FRANKFURT_1-01-140,Fliffis- Rudi B,188.527,-363.249,577.132,278.92,721.085,615.87
,,36.101,37.56,-29.829,-7.452,-5.45,313.721,-148.812,823.576,20191007-1524-FRANKFURT_1-01-140,Fliffis- Rudi B,188.527,-363.249,577.132,278.92,721.085,615.87
,,30.759,23.242,-11.279,1.158,9.004,155.467,363.815,145.424,20191007-1524-FRANKFURT_1-01-140,Fliffis- Rudi B,188.527,-363.249,577.132,278.92,721.085,615.87
,,33.509,43.698,-4.734,-0.437,15.499,21.212,-412.643,33.24,20191007-1159-FRANKFURT_1-01-130,Barani B,-16.119,-72.857,195.952,51.075,335.611,215.29
,,10.421,11.397,-7.138,3.843,-4.571,-31.165,-107.325,261.36,20191007-1159-FRANKFURT_1-01-130,Barani B,-16.119,-72.857,195.952,51.075,335.611,215.29
,,9.402,9.145,-4.358,-2.775,-7.412,-25.97,84.334,189.163,20191007-1159-FRANKFURT_1-01-130,Barani B,-16.119,-72.857,195.952,51.075,335.611,215.29
,,24.536,14.085,-0.535,-1.343,18.854,-5.805,247.805,22.735,20191007-1159-FRANKFURT_1-01-130,Barani B,-16.119,-72.857,195.952,51.075,335.611,215.29
